transaction_id,settlement_date,usd_amount_received,fx_rate_applied,fees_deducted
TXN-2024-004004,2024-12-10,317.4584,4012.5078,9.4535
TXN-2024-008874,2024-10-09,113.9901,15572.9046,3.9047
TXN-2024-018704,2024-11-20,161.3633,4047.1772,5.1283
TXN-2024-014403,2024-10-25,103.8841,130.6782,3.0227
TXN-2024-002220,2024-12-22,163.6986,3941.1681,5.495
TXN-2024-018963,2024-12-29,109.9045,15477.3717,3.177
TXN-2024-015780,2024-11-22,54.1986,15604.273,1.9277
TXN-2024-009352,2024-10-23,44.1923,4.9286,1.4921
TXN-2024-019070,2024-10-12,27.5858,4052.7136,1.1185
TXN-2024-024066,2024-12-04,59.0037,15315.3382,1.8719
TXN-2024-024814,2024-10-25,43.1305,4027.9068,1.6324
TXN-2024-004083,2024-11-10,25.4983,4.9251,1.0128
TXN-2024-016231,2024-12-11,136.5142,15515.0497,4.6253
TXN-2024-009938,2024-12-12,62.3882,15466.5886,2.2539
TXN-2024-002135,2024-11-11,242.7792,5.0744,7.5598
TXN-2024-018050,2024-11-26,70.7959,3940.925,2.547
TXN-2024-007393,2024-12-31,262.398,17.5858,8.1458
TXN-2024-013311,2024-11-06,87.8296,4.9557,3.1101
TXN-2024-018463,2024-10-15,316.777,3983.4249,8.4815
TXN-2024-003812,2024-10-10,25.3082,4014.2207,1.0648
TXN-2024-021489,2024-12-25,112.8091,3940.2775,3.9358
TXN-2024-010302,2024-11-11,98.6176,4.937,3.4667
TXN-2024-005652,2024-11-14,148.3908,15492.7035,4.1639
TXN-2024-017271,2024-12-08,265.4396,3983.6587,8.7499
TXN-2024-024537,2024-11-18,50.4202,15307.1576,1.6518
TXN-2024-001972,2024-12-21,96.0475,5.0672,2.8217
TXN-2024-014994,2024-10-08,307.336,3946.7482,9.4879
TXN-2024-013690,2024-12-24,222.0725,17.5402,6.9414
TXN-2024-016005,2024-10-13,42.2246,129.5016,1.4417
TXN-2024-003977,2024-12-13,172.746,4.9289,5.4682
TXN-2024-007353,2024-10-06,204.7004,3951.9019,6.4226
TXN-2024-011823,2024-10-19,61.5758,131.0415,2.148
TXN-2024-010154,2024-12-25,90.9974,17.7296,2.6922
TXN-2024-010920,2024-12-03,177.4008,17.5167,5.9334
TXN-2024-020904,2024-10-04,268.9814,17.6413,8.8632
TXN-2024-002885,2024-12-20,53.9193,131.0459,1.983
TXN-2024-018281,2024-11-26,17.2098,15555.3297,0.7755
TXN-2024-010464,2024-12-29,226.3589,5.0205,7.6895
TXN-2024-000150,2024-11-12,287.5726,4.9331,9.7131
TXN-2024-005036,2024-12-20,21.3753,5.0663,0.9132
TXN-2024-001429,2024-11-28,72.7038,5.0141,2.5839
TXN-2024-016938,2024-10-05,155.4433,4.9687,5.3452
TXN-2024-004314,2024-11-22,61.0887,15604.2101,1.9254
TXN-2024-019759,2024-11-12,109.375,129.3095,3.4594
TXN-2024-014986,2024-11-29,156.9978,5.0096,5.2806
TXN-2024-022977,2024-11-30,264.1005,3997.3295,7.9165
TXN-2024-019114,2024-10-22,120.9632,3983.132,4.1278
TXN-2024-012822,2024-11-07,40.4201,17.2972,1.5162
TXN-2024-000832,2024-10-21,196.9439,4.9833,5.9819
TXN-2024-002989,2024-11-06,181.1363,15572.6068,6.1946
TXN-2024-000494,2024-12-03,264.6599,4043.9292,8.7249
TXN-2024-022057,2024-12-24,243.7814,17.2994,8.2655
TXN-2024-020986,2024-10-18,236.0303,17.6408,7.809
TXN-2024-014092,2024-11-22,19.1879,17.6299,0.882
TXN-2024-011216,2024-11-29,91.3666,15723.9724,3.227
TXN-2024-004543,2024-12-23,115.5591,15586.2387,3.7603
TXN-2024-015387,2024-10-25,110.6867,15433.2273,3.7991
TXN-2024-002069,2024-12-20,39.5888,15707.9561,1.5153
TXN-2024-013161,2024-11-16,322.5211,3996.198,10.8685
TXN-2024-022256,2024-11-20,120.4571,17.3375,4.1116
TXN-2024-013159,2024-12-08,148.0386,4.9617,5.1004
TXN-2024-004101,2024-12-04,281.5155,4.9919,8.7167
TXN-2024-004108,2024-11-20,22.5804,131.2192,0.9804
TXN-2024-012211,2024-12-20,43.6859,4030.2202,1.4791
TXN-2024-020934,2024-11-20,59.9111,3977.3261,2.0345
TXN-2024-014689,2024-10-20,74.4569,15444.7149,2.668
TXN-2024-019921,2024-12-07,195.0752,17.7209,5.8967
TXN-2024-021040,2024-12-04,256.7992,5.0672,8.4735
TXN-2024-006920,2024-10-12,281.6033,5.0004,7.5796
TXN-2024-023959,2024-12-04,57.1067,5.0043,2.0944
TXN-2024-017681,2024-10-10,52.8117,4035.9689,1.9525
TXN-2024-010584,2024-10-17,237.0549,4053.2697,8.0431
TXN-2024-024602,2024-10-15,185.367,5.0454,6.3344
TXN-2024-012333,2024-11-18,24.3254,4.9355,1.0094
TXN-2024-004264,2024-10-04,62.6653,130.1553,2.2628
TXN-2024-009988,2024-12-08,33.6937,17.5696,1.2792
TXN-2024-005567,2024-11-04,176.2847,4.9743,5.8977
TXN-2024-023210,2024-11-01,21.9586,15317.7782,0.9325
TXN-2024-012656,2024-10-28,17.4293,129.553,0.8295
TXN-2024-016044,2024-12-20,244.0704,17.3804,6.6172
TXN-2024-023979,2024-11-03,242.1932,17.646,7.2854
TXN-2024-009637,2024-11-03,85.5551,5.0044,2.7732
TXN-2024-009212,2024-12-29,90.4793,4.9282,3.0112
TXN-2024-009598,2024-11-03,25.3964,128.3238,1.0675
TXN-2024-016922,2024-10-13,160.7042,17.351,5.5191
TXN-2024-014434,2024-11-21,73.315,129.8473,2.2388
TXN-2024-000500,2024-10-25,108.1522,130.1428,3.539
TXN-2024-008381,2024-12-25,86.152,4.9549,3.0546
TXN-2024-014187,2024-12-02,72.6934,15306.1436,2.48
TXN-2024-012521,2024-12-06,38.2813,131.7683,1.4827
TXN-2024-006757,2024-11-06,188.072,4.9971,5.7264
TXN-2024-002801,2024-11-01,156.4963,17.2389,4.8168
TXN-2024-000234,2024-12-18,116.6152,15493.8863,3.7918
TXN-2024-021055,2024-12-16,88.3804,17.3035,3.1283
TXN-2024-017883,2024-11-24,35.0513,4.9505,1.3794
TXN-2024-003365,2024-10-06,136.9947,17.4852,4.255
TXN-2024-003132,2024-12-25,30.901,128.484,1.1988
TXN-2024-007145,2024-12-12,152.8071,17.286,4.7105
TXN-2024-006242,2024-10-08,230.7072,4053.716,6.9545
TXN-2024-020451,2024-12-06,24.1176,5.0257,0.9774
TXN-2024-005010,2024-10-28,35.4065,15313.7844,1.2668
TXN-2024-020136,2024-10-13,97.1743,130.9066,2.8506
TXN-2024-013228,2024-10-08,181.5183,15679.7796,6.0651
TXN-2024-023528,2024-12-04,165.5939,5.0058,5.5556
TXN-2024-023274,2024-11-30,49.1733,17.4089,1.8311
TXN-2024-010296,2024-11-06,117.7182,17.6808,4.024
TXN-2024-005230,2024-12-02,167.9721,15705.1651,4.666
TXN-2024-007285,2024-10-27,218.4713,4.9698,6.6021
TXN-2024-020438,2024-12-04,8.2225,15717.2248,0.5698
TXN-2024-014769,2024-11-10,254.8645,3954.6709,8.4116
TXN-2024-000149,2024-12-03,30.2626,17.3437,1.2128
TXN-2024-015127,2024-12-03,285.3177,5.0222,9.3858
TXN-2024-012483,2024-11-13,66.8195,131.0733,2.3957
TXN-2024-018990,2024-12-10,26.6019,15699.4785,1.109
TXN-2024-006004,2024-10-08,115.5391,4053.1124,3.6369
TXN-2024-020124,2024-10-23,303.3805,4055.4106,9.048
TXN-2024-005800,2024-12-02,131.8053,15329.6451,3.7386
TXN-2024-003162,2024-12-25,17.8543,131.0862,0.823
TXN-2024-018971,2024-11-25,58.3191,15375.8774,1.9886
TXN-2024-012318,2024-12-09,49.9098,17.6117,1.8547
TXN-2024-001790,2024-12-27,71.5347,131.7076,2.1932
TXN-2024-014252,2024-11-29,78.3367,15467.3335,2.3676
TXN-2024-013825,2024-12-04,43.0576,15530.2428,1.463
TXN-2024-008171,2024-10-10,45.9681,15496.3534,1.6328
TXN-2024-006927,2024-11-28,158.3543,4.9604,5.324
TXN-2024-020860,2024-11-08,105.3714,128.8658,3.0608
TXN-2024-009470,2024-11-28,250.2392,17.4663,7.5172
TXN-2024-011943,2024-11-13,344.3952,3970.2938,10.5947
TXN-2024-003798,2024-12-29,100.1162,3951.9033,3.4609
TXN-2024-012714,2024-10-10,240.7373,4.9982,6.5317
TXN-2024-004636,2024-12-21,217.6935,17.4138,7.2224
TXN-2024-011390,2024-11-06,17.6292,130.4806,0.811
TXN-2024-016222,2024-11-30,178.204,17.5796,5.6312
TXN-2024-000786,2024-11-04,17.6453,15363.7868,0.8114
TXN-2024-022823,2024-11-27,131.5767,17.5643,4.2386
TXN-2024-018073,2024-12-01,82.9666,15488.693,2.9122
TXN-2024-001768,2024-12-11,59.7539,130.9595,2.0299
TXN-2024-006455,2024-11-09,95.3717,131.9008,3.1573
TXN-2024-023046,2024-11-24,15.611,129.8914,0.7574
TXN-2024-023427,2024-10-28,50.7547,15459.099,1.8248
TXN-2024-011336,2024-10-25,18.5727,130.03,0.8637
TXN-2024-016862,2024-12-16,327.7412,3988.2179,9.7497
TXN-2024-004799,2024-12-31,30.9598,4.9272,1.2005
TXN-2024-014930,2024-10-28,126.4239,15429.6653,3.6006
TXN-2024-000005,2024-12-08,192.2647,17.4036,6.0512
TXN-2024-019924,2024-11-11,101.3622,17.3412,3.5008
TXN-2024-020704,2024-10-24,200.8696,4051.326,6.8469
TXN-2024-004796,2024-12-20,48.6856,15604.1787,1.6073
TXN-2024-021707,2024-10-21,232.4732,4029.2363,7.6952
TXN-2024-011522,2024-10-28,290.7935,4046.9993,9.8196
TXN-2024-016549,2024-10-11,102.3906,15298.6862,3.2582
TXN-2024-002743,2024-10-23,69.179,130.5925,2.4712
TXN-2024-007410,2024-10-13,99.6751,4.9767,3.5017
TXN-2024-002134,2024-10-18,233.8175,17.2906,6.9131
TXN-2024-012601,2024-11-25,38.5767,17.2752,1.4199
TXN-2024-002451,2024-11-02,157.0881,15601.9931,5.3996
TXN-2024-018609,2024-10-05,234.7564,4.9523,7.9672
TXN-2024-001256,2024-12-12,244.2048,17.6326,8.0705
TXN-2024-017885,2024-11-21,73.9485,131.3541,2.2551
TXN-2024-020168,2024-10-16,214.5865,3951.6972,7.123
TXN-2024-017927,2024-10-25,217.9345,4048.8292,7.2301
TXN-2024-021231,2024-11-12,218.455,17.6513,7.2468
TXN-2024-019733,2024-10-17,12.9638,3997.4722,0.6961
TXN-2024-013848,2024-11-19,191.2145,3952.7498,6.0198
TXN-2024-024509,2024-11-16,111.4597,3955.9096,3.8238
TXN-2024-006598,2024-10-31,166.3613,15345.3876,5.1009
TXN-2024-017542,2024-12-27,94.9315,130.6612,2.7931
TXN-2024-009726,2024-12-30,169.4791,15456.586,5.1908
TXN-2024-013436,2024-12-16,133.3568,17.6242,4.1502
TXN-2024-016605,2024-10-10,40.2845,3994.2529,1.3919
TXN-2024-021640,2024-12-11,176.8288,4004.2581,5.4025
TXN-2024-020885,2024-11-20,73.9202,17.6941,2.6228
TXN-2024-024824,2024-12-05,116.2103,4.9495,4.0483
TXN-2024-002286,2024-10-28,233.5625,17.5828,7.0368
TXN-2024-011632,2024-10-08,90.8129,129.936,3.0212
TXN-2024-022323,2024-10-12,142.2397,15321.4334,4.8085
TXN-2024-000383,2024-10-05,68.6847,15508.991,2.2872
TXN-2024-020304,2024-10-08,132.7867,15618.3549,4.2748
TXN-2024-005433,2024-12-17,42.6743,4000.3263,1.6232
TXN-2024-023923,2024-11-19,156.4588,17.3449,4.8157
TXN-2024-010215,2024-12-25,216.4203,4057.5038,6.7726
TXN-2024-005713,2024-11-10,124.3288,3961.1657,3.5469
TXN-2024-004093,2024-10-11,48.65,3997.0948,1.5061
TXN-2024-008036,2024-11-20,112.0796,15308.5697,3.5373
TXN-2024-008153,2024-11-29,328.6389,3960.7773,10.1241
TXN-2024-002612,2024-11-21,70.0106,129.3005,2.3999
TXN-2024-000864,2024-10-16,226.1399,3946.3228,7.4926
TXN-2024-010364,2024-11-08,186.3826,15443.396,6.368
TXN-2024-009541,2024-11-07,156.3662,15372.6754,4.979
TXN-2024-000800,2024-11-16,62.5179,15645.1462,2.2733
TXN-2024-007720,2024-10-02,40.2648,128.4092,1.4685
TXN-2024-011138,2024-12-07,176.8782,17.3243,5.4039
TXN-2024-019981,2024-11-07,128.9111,17.3708,4.3821
TXN-2024-014385,2024-10-10,205.9097,4.9856,7.0135
TXN-2024-024780,2024-11-18,110.6535,4033.3184,3.1962
TXN-2024-008558,2024-10-26,64.3693,128.5822,2.1629
TXN-2024-000053,2024-12-26,128.4245,3944.148,4.452
TXN-2024-018166,2024-10-08,91.8944,15389.6584,3.1979
TXN-2024-002903,2024-11-06,263.3449,3995.6029,8.1741
TXN-2024-021367,2024-10-12,11.5391,128.5493,0.6536
TXN-2024-010124,2024-10-11,97.8565,17.7071,2.8681
TXN-2024-008629,2024-12-31,179.9721,17.247,5.684
TXN-2024-018812,2024-12-12,30.2224,15346.3602,1.1792
TXN-2024-007447,2024-12-09,76.5796,131.1063,2.3226
TXN-2024-019513,2024-12-07,27.7167,129.5747,1.1071
TXN-2024-016120,2024-11-08,200.7259,17.5024,6.0909
TXN-2024-003553,2024-12-31,350.9715,3951.8759,9.3582
TXN-2024-024353,2024-12-14,54.9322,128.7275,1.891
TXN-2024-006876,2024-12-19,66.2072,3967.4924,2.2863
TXN-2024-007031,2024-11-03,167.0984,3957.7025,5.6038
TXN-2024-018397,2024-12-09,77.4264,129.8925,2.539
TXN-2024-001405,2024-10-17,222.887,17.3195,6.074
TXN-2024-007543,2024-11-13,135.5906,17.4384,4.6889
TXN-2024-019848,2024-12-04,93.079,5.0495,3.0889
TXN-2024-009920,2024-11-15,12.8739,15471.3517,0.6891
TXN-2024-011984,2024-12-18,8.7154,15663.7249,0.5824
TXN-2024-004186,2024-11-02,94.4045,17.3733,3.2782
TXN-2024-004053,2024-10-25,122.0644,15404.2884,4.163
TXN-2024-015388,2024-12-12,14.4724,128.9438,0.7301
TXN-2024-023738,2024-12-15,96.2192,129.2444,3.0804
TXN-2024-007668,2024-10-25,42.8286,131.1155,1.5424
TXN-2024-022444,2024-12-22,53.579,17.6524,1.9721
TXN-2024-021149,2024-12-24,159.7877,3997.1722,5.4889
TXN-2024-009873,2024-10-30,13.0404,4017.858,0.6843
TXN-2024-013447,2024-12-27,310.0657,4049.2397,8.3094
TXN-2024-013221,2024-10-30,55.5719,128.7382,1.9687
TXN-2024-009512,2024-12-23,110.7675,17.2603,3.1992
TXN-2024-024870,2024-12-15,89.2387,5.025,2.9742
TXN-2024-019159,2024-10-16,169.716,4004.4574,4.7107
TXN-2024-001268,2024-11-17,234.4368,17.4317,7.3107
TXN-2024-022889,2024-10-11,268.2249,5.0349,9.0736
TXN-2024-020556,2024-12-26,24.1179,131.2074,1.0296
TXN-2024-021705,2024-10-12,336.6226,4058.3931,10.0056
TXN-2024-023207,2024-10-21,251.1483,17.6979,8.2927
TXN-2024-013664,2024-10-17,78.3314,131.6071,2.7961
TXN-2024-007429,2024-12-12,356.5124,3992.5442,10.9566
TXN-2024-022790,2024-12-11,52.9701,15390.6322,1.8345
TXN-2024-019488,2024-10-16,27.1934,17.386,1.092
TXN-2024-012808,2024-11-29,362.6973,3975.2571,12.1966
TXN-2024-023699,2024-10-29,195.8422,17.6809,5.3806
TXN-2024-010540,2024-10-07,77.2717,3993.327,2.3403
TXN-2024-006320,2024-10-06,78.0444,17.6274,2.7866
TXN-2024-023988,2024-12-15,176.1239,4.9806,5.5691
TXN-2024-000302,2024-11-20,16.7362,4.9393,0.8088
TXN-2024-022488,2024-10-26,133.6235,17.3535,4.1579
TXN-2024-000016,2024-10-18,311.5308,4021.399,10.2244
TXN-2024-020149,2024-12-31,40.3701,4.9801,1.3941
TXN-2024-012662,2024-12-26,186.5166,4059.1714,5.1415
TXN-2024-008451,2024-11-05,39.9515,4031.0801,1.5022
TXN-2024-006819,2024-12-01,166.5405,15311.3391,5.2829
TXN-2024-001535,2024-12-01,80.6947,131.6317,2.4281
TXN-2024-015991,2024-10-04,254.757,4029.5717,7.9176
TXN-2024-003803,2024-12-22,168.3593,17.2686,5.1585
TXN-2024-012813,2024-10-26,345.4626,4030.8922,11.31
TXN-2024-016690,2024-11-17,186.7623,17.686,5.1477
TXN-2024-015083,2024-12-11,19.4209,15282.1692,0.8486
TXN-2024-017884,2024-10-21,51.0281,4057.7152,1.8905
TXN-2024-000575,2024-11-28,359.7719,3985.3074,10.6724
TXN-2024-012003,2024-11-15,143.2139,17.53,4.8397
TXN-2024-017583,2024-12-09,54.3755,130.4914,1.7532
TXN-2024-010181,2024-11-09,130.4554,17.3853,4.4315
TXN-2024-014569,2024-11-23,217.167,17.4384,7.2056
TXN-2024-006349,2024-11-10,77.7088,130.4075,2.3515
TXN-2024-015209,2024-10-18,56.7161,17.7302,2.0029
TXN-2024-006451,2024-11-17,140.1522,3963.245,3.9526
TXN-2024-003901,2024-10-18,106.948,129.728,3.6795
TXN-2024-005917,2024-11-15,114.902,17.6728,3.6186
TXN-2024-002645,2024-12-15,93.3558,4021.5769,3.2928
TXN-2024-024933,2024-11-24,222.9976,17.7608,6.969
TXN-2024-012896,2024-12-17,12.648,5.0659,0.6626
TXN-2024-002692,2024-12-23,286.1701,5.0441,8.8558
TXN-2024-020585,2024-11-27,80.7813,128.5759,2.8771
TXN-2024-004635,2024-10-23,49.2927,4059.6456,1.7811
TXN-2024-017949,2024-10-25,283.5775,4046.11,9.5811
TXN-2024-001488,2024-11-12,195.4594,4058.1721,5.9392
TXN-2024-014338,2024-11-11,177.5143,4014.0584,5.937
TXN-2024-015671,2024-11-27,73.0462,130.4429,2.5949
TXN-2024-021177,2024-11-02,244.7633,4.9845,7.6191
TXN-2024-001229,2024-10-11,112.8724,15510.7592,3.869
TXN-2024-018753,2024-11-14,245.0357,3984.5759,8.307
TXN-2024-004486,2024-11-23,215.8531,17.5526,7.3423
TXN-2024-005696,2024-12-22,66.573,129.3497,2.2264
TXN-2024-021729,2024-10-31,277.8465,4.9549,7.4832
TXN-2024-007693,2024-10-18,25.7391,128.2361,1.0777
TXN-2024-020269,2024-10-04,268.1066,3995.906,8.3163
TXN-2024-013321,2024-11-17,105.9172,4.9761,3.6465
TXN-2024-010719,2024-11-11,123.7087,15333.7184,3.8723
TXN-2024-008510,2024-12-05,90.7046,3960.3848,2.6847
TXN-2024-020456,2024-10-10,26.7297,15618.9102,1.1131
TXN-2024-013920,2024-12-29,38.2246,131.4481,1.4809
TXN-2024-017678,2024-11-26,205.6728,5.0489,5.6326
TXN-2024-019338,2024-12-02,131.2227,15486.0869,4.0887
TXN-2024-015086,2024-10-15,21.5276,5.0366,0.9519
TXN-2024-023562,2024-11-08,172.9877,4028.9655,5.7922
TXN-2024-006982,2024-11-01,111.4294,4023.6134,3.8902
TXN-2024-009718,2024-10-13,202.2119,17.473,6.3482
TXN-2024-004379,2024-12-05,95.342,4.9558,2.8036
TXN-2024-016215,2024-12-25,165.0693,17.2544,5.6634
TXN-2024-016544,2024-11-21,35.4931,17.4027,1.3799
TXN-2024-000381,2024-10-04,173.4588,15668.2784,4.8066
TXN-2024-003689,2024-10-14,40.644,131.4155,1.5502
TXN-2024-020162,2024-12-22,220.7156,17.4613,6.6667
TXN-2024-004630,2024-10-22,74.0491,17.3911,2.5205
TXN-2024-010746,2024-12-05,131.2324,3968.8166,4.2284
TXN-2024-007209,2024-11-29,39.4239,4027.24,1.3698
TXN-2024-020830,2024-10-31,17.7703,130.2055,0.8397
TXN-2024-003846,2024-10-20,17.7513,4.9302,0.82
TXN-2024-004819,2024-11-22,135.6484,3971.4399,4.2162
TXN-2024-024389,2024-12-11,202.8086,17.5846,6.1509
TXN-2024-007640,2024-10-27,209.3782,17.7033,6.5623
TXN-2024-023030,2024-10-13,83.6423,17.309,2.5036
TXN-2024-017958,2024-12-12,70.7713,15703.4125,2.3473
TXN-2024-015850,2024-10-29,43.1295,130.824,1.4649
TXN-2024-020407,2024-10-03,237.6052,4.9269,7.1532
TXN-2024-011835,2024-10-06,317.4301,4028.3482,8.4982
TXN-2024-014308,2024-10-02,266.519,5.4218,8.7844
TXN-2024-004168,2024-12-25,287.6813,3983.7679,8.9009
TXN-2024-003483,2024-11-06,113.9642,15590.6207,3.2811
TXN-2024-004525,2024-11-09,124.6525,15437.4493,3.8995
TXN-2024-016255,2024-12-16,161.2904,15562.199,5.1261
TXN-2024-014307,2024-11-18,88.3852,17.6266,3.0856
TXN-2024-019819,2024-11-27,90.1359,17.7528,3.001
TXN-2024-016618,2024-11-29,105.0606,4033.2275,3.6191
TXN-2024-021906,2024-12-31,199.7894,4.9852,6.0639
TXN-2024-014375,2024-12-05,292.1147,4020.8472,9.0333
TXN-2024-022168,2024-12-09,236.0512,4.9771,7.1085
TXN-2024-014586,2024-10-10,72.5429,4056.6118,2.6047
TXN-2024-006466,2024-12-16,265.5195,17.5345,8.7524
TXN-2024-009929,2024-11-11,96.1785,131.8531,3.1814
TXN-2024-020525,2024-10-11,34.6408,15716.6067,1.2472
TXN-2024-020693,2024-12-23,351.8783,4013.4053,9.3815
TXN-2024-011936,2024-12-12,29.3461,15472.5498,1.1114
TXN-2024-010264,2024-11-19,120.754,15715.9024,3.4552
TXN-2024-008123,2024-11-16,122.7046,17.313,3.5052
TXN-2024-010798,2024-11-25,137.9527,17.3531,4.767
TXN-2024-003052,2024-10-29,34.2999,4.9718,1.2385
TXN-2024-018855,2024-10-15,247.5881,3949.7951,7.7035
TXN-2024-012836,2024-12-20,27.1542,17.4114,1.1267
TXN-2024-020284,2024-12-27,141.4682,17.3769,3.9864
TXN-2024-019991,2024-11-12,66.2685,131.7998,2.3973
TXN-2024-009673,2024-12-18,187.0549,15472.0332,6.2422
TXN-2024-013634,2024-12-28,77.0786,128.1384,2.611
TXN-2024-016704,2024-10-10,257.9536,4042.259,6.9732
TXN-2024-022076,2024-10-09,70.4367,4032.5475,2.3377
TXN-2024-009075,2024-10-12,92.9621,4058.1723,3.0854
TXN-2024-013662,2024-11-14,47.221,4046.6011,1.7193
TXN-2024-009907,2024-11-15,95.391,3989.4654,3.3097
TXN-2024-016252,2024-12-18,67.1236,4053.3149,2.4054
TXN-2024-011098,2024-10-14,23.083,17.4954,0.9736
TXN-2024-016565,2024-12-02,245.2197,4.94,6.6467
TXN-2024-008407,2024-12-13,56.605,4.9638,2.0779
TXN-2024-005824,2024-12-31,156.3923,17.2661,4.8138
TXN-2024-017712,2024-12-10,89.6781,15407.7564,2.9873
TXN-2024-012695,2024-10-14,28.3918,15399.4979,1.1569
TXN-2024-015514,2024-12-09,332.2714,3984.7295,10.2326
TXN-2024-022964,2024-12-14,293.758,4037.5188,7.8912
TXN-2024-019155,2024-10-11,68.0434,15279.7369,2.1037
TXN-2024-006948,2024-11-12,335.0903,4005.0687,10.3168
TXN-2024-011683,2024-11-11,30.7478,15478.0271,1.1474
TXN-2024-024436,2024-10-09,175.9145,3998.6307,5.5628
TXN-2024-010066,2024-10-13,72.396,17.4799,2.5999
TXN-2024-000755,2024-10-04,17.8526,17.515,0.8291
TXN-2024-023150,2024-10-14,9.6082,4.9771,0.5242
TXN-2024-015993,2024-11-30,226.2568,17.6175,6.1604
TXN-2024-013168,2024-11-14,71.6173,130.0602,2.5492
TXN-2024-011397,2024-11-24,110.7626,17.5053,3.617
TXN-2024-024744,2024-11-26,156.8709,17.6805,4.8276
TXN-2024-020442,2024-10-06,81.927,17.4231,2.6687
TXN-2024-005912,2024-11-25,157.1211,17.4223,5.0016
TXN-2024-022717,2024-11-30,29.7517,129.3123,1.1218
TXN-2024-012528,2024-11-29,51.6993,4.9625,1.7979
TXN-2024-001904,2024-10-24,133.3583,17.676,4.6152
TXN-2024-020109,2024-11-21,76.8649,128.5515,2.6046
TXN-2024-005348,2024-11-25,84.6415,130.7935,2.7469
TXN-2024-023149,2024-12-05,284.5078,4.9281,8.8061
TXN-2024-010109,2024-12-20,50.6233,17.6137,1.8801
TXN-2024-015858,2024-10-22,57.342,3973.0756,2.0215
TXN-2024-010571,2024-10-29,248.5325,17.357,8.4226
TXN-2024-024549,2024-12-15,98.7849,17.6049,3.1543
TXN-2024-017842,2024-10-17,285.0298,4.9351,7.6674
TXN-2024-020578,2024-12-18,99.8895,15563.8088,2.9202
TXN-2024-017594,2024-11-02,176.7933,17.4373,5.9139
TXN-2024-023945,2024-11-12,104.8039,5.0559,3.0463
TXN-2024-022314,2024-10-10,9.9325,131.2609,0.5758
TXN-2024-005051,2024-10-30,69.8281,15519.8738,2.3202
TXN-2024-022622,2024-12-29,34.6375,17.2672,1.3434
TXN-2024-019140,2024-11-28,127.9209,17.4912,4.4354
TXN-2024-002119,2024-11-08,182.6717,15460.7041,5.7647
TXN-2024-002277,2024-12-07,40.6283,5.0396,1.5497
TXN-2024-019181,2024-12-03,281.6686,4.9888,9.2691
TXN-2024-000904,2024-10-29,18.843,15372.6934,0.8295
TXN-2024-023060,2024-11-28,109.8299,5.0279,3.5892
TXN-2024-018161,2024-10-13,237.2967,4010.0307,7.1443
TXN-2024-020354,2024-11-27,121.7191,15542.8655,3.9442
TXN-2024-022891,2024-12-30,309.2004,4046.9615,10.4281
TXN-2024-020328,2024-11-26,356.898,4056.6588,10.5897
TXN-2024-000195,2024-12-08,190.3457,17.5934,5.9938
TXN-2024-008828,2024-12-18,60.2889,4050.3956,2.0454
