transaction_id,order_date,customer_currency,original_amount,payment_processor
TXN-2024-000032,2024-11-23,COP,484594.67,Flutterwave
TXN-2024-000033,2024-10-13,MXN,4960.74,PayU
TXN-2024-000034,2024-11-12,BRL,236.28,StripeConnect
TXN-2024-000035,2024-10-23,BRL,571.77,StripeConnect
TXN-2024-000036,2024-12-01,MXN,2949.43,PayU
TXN-2024-000037,2024-12-08,COP,397380.89,Xendit
TXN-2024-000038,2024-10-10,KES,5368.39,PayU
TXN-2024-000039,2024-12-14,IDR,1025347.68,MercadoPago
TXN-2024-000040,2024-10-07,BRL,546.47,MercadoPago
TXN-2024-000041,2024-10-08,COP,1058529.11,MercadoPago
TXN-2024-000042,2024-11-04,IDR,898923.65,MercadoPago
TXN-2024-000043,2024-10-23,KES,10676.38,PayU
TXN-2024-000044,2024-10-15,KES,11008.84,Flutterwave
TXN-2024-000045,2024-12-05,MXN,3303.74,StripeConnect
TXN-2024-000046,2024-12-18,IDR,567215.48,PayU
TXN-2024-000047,2024-10-23,MXN,3746.48,StripeConnect
TXN-2024-000048,2024-12-27,MXN,4007.75,PayU
TXN-2024-000049,2024-12-17,KES,13175.85,StripeConnect
TXN-2024-000050,2024-11-17,KES,4168.53,Xendit
TXN-2024-000051,2024-10-21,BRL,242.48,StripeConnect
TXN-2024-000052,2024-12-03,BRL,669.87,StripeConnect
TXN-2024-000053,2024-12-24,COP,524084.58,Flutterwave
TXN-2024-000054,2024-12-10,IDR,537166.94,PayU
TXN-2024-000055,2024-11-23,KES,7927.95,Flutterwave
TXN-2024-000056,2024-10-28,COP,400559.55,MercadoPago
TXN-2024-000057,2024-12-12,BRL,1418.23,Flutterwave
TXN-2024-000058,2024-10-08,IDR,2968685.28,MercadoPago
TXN-2024-000059,2024-12-22,MXN,370.88,MercadoPago
TXN-2024-000060,2024-12-15,MXN,1319.92,Xendit
TXN-2024-000061,2024-10-21,BRL,387.3,Xendit
TXN-2024-000062,2024-10-26,BRL,1364.03,StripeConnect
TXN-2024-000063,2024-12-27,MXN,1431.34,PayU
TXN-2024-000064,2024-12-07,MXN,1288.52,PayU
TXN-2024-000065,2024-11-11,MXN,3882.17,MercadoPago
TXN-2024-000066,2024-11-25,COP,140122.49,StripeConnect
TXN-2024-000067,2024-12-25,MXN,1423.6,Xendit
TXN-2024-000068,2024-11-14,MXN,2068.34,PayU
TXN-2024-000069,2024-10-04,IDR,1129353.03,StripeConnect
TXN-2024-000070,2024-11-10,MXN,4471.27,MercadoPago
TXN-2024-000071,2024-10-23,MXN,1217.01,MercadoPago
TXN-2024-000072,2024-11-25,IDR,430495.09,Xendit
TXN-2024-000073,2024-12-11,IDR,2640633.88,PayU
TXN-2024-000074,2024-11-14,BRL,1222.18,MercadoPago
TXN-2024-000075,2024-11-11,MXN,3180.41,MercadoPago
TXN-2024-000076,2024-12-25,MXN,2334.58,StripeConnect
TXN-2024-000077,2024-10-16,KES,11196.76,MercadoPago
TXN-2024-000078,2024-11-11,BRL,789.0,MercadoPago
TXN-2024-000079,2024-11-20,COP,1173957.07,StripeConnect
TXN-2024-000080,2024-11-13,KES,14943.71,StripeConnect
TXN-2024-000081,2024-11-22,IDR,657880.52,Flutterwave
TXN-2024-000082,2024-11-11,MXN,1246.73,PayU
TXN-2024-000083,2024-11-06,COP,315577.89,StripeConnect
TXN-2024-000084,2024-12-30,COP,652288.44,MercadoPago
TXN-2024-000085,2024-10-13,BRL,162.65,Flutterwave
TXN-2024-000086,2024-10-16,KES,1009.33,Xendit
TXN-2024-000087,2024-11-07,BRL,916.71,StripeConnect
TXN-2024-000088,2024-11-02,COP,775151.66,PayU
TXN-2024-000089,2024-12-05,MXN,818.01,Xendit
TXN-2024-000090,2024-11-25,MXN,3950.51,Xendit
TXN-2024-000091,2024-10-11,IDR,130577.16,StripeConnect
TXN-2024-000092,2024-10-12,MXN,3928.08,MercadoPago
TXN-2024-000093,2024-10-23,KES,12480.05,PayU
TXN-2024-000094,2024-10-28,BRL,481.77,MercadoPago
TXN-2024-000095,2024-12-18,IDR,1113386.12,MercadoPago
TXN-2024-000096,2024-12-10,KES,14176.73,Flutterwave
TXN-2024-000097,2024-10-21,KES,9254.18,Xendit
TXN-2024-000098,2024-12-17,MXN,3048.75,StripeConnect
TXN-2024-000099,2024-12-26,IDR,1718390.96,Flutterwave
TXN-2024-000100,2024-12-28,KES,1957.54,Xendit
TXN-2024-000101,2024-12-21,BRL,278.48,StripeConnect
TXN-2024-000102,2024-12-09,BRL,839.95,MercadoPago
TXN-2024-000103,2024-10-27,BRL,1473.58,MercadoPago
TXN-2024-000104,2024-11-17,COP,616138.28,Xendit
TXN-2024-000105,2024-11-05,COP,641346.82,StripeConnect
TXN-2024-000106,2024-12-29,BRL,1009.16,PayU
TXN-2024-000107,2024-11-22,MXN,2713.43,StripeConnect
TXN-2024-000108,2024-11-14,MXN,341.04,Xendit
TXN-2024-000109,2024-11-08,IDR,800844.44,Xendit
TXN-2024-000110,2024-10-09,COP,1388814.57,Xendit
TXN-2024-000111,2024-12-08,KES,14668.79,StripeConnect
TXN-2024-000112,2024-12-22,IDR,1621515.4,Xendit
TXN-2024-000113,2024-10-06,MXN,3114.27,StripeConnect
TXN-2024-000114,2024-12-10,COP,713580.35,Flutterwave
TXN-2024-000115,2024-12-20,BRL,97.24,MercadoPago
TXN-2024-000116,2024-12-03,COP,1158210.54,MercadoPago
TXN-2024-000117,2024-10-05,KES,11918.4,Xendit
TXN-2024-000118,2024-12-26,KES,4327.17,Xendit
TXN-2024-000119,2024-11-22,BRL,1094.53,MercadoPago
TXN-2024-000120,2024-10-23,MXN,3897.65,StripeConnect
TXN-2024-000121,2024-10-03,COP,281161.03,Flutterwave
TXN-2024-000122,2024-11-21,BRL,283.96,MercadoPago
TXN-2024-000123,2024-11-29,MXN,2430.31,PayU
TXN-2024-000124,2024-10-23,KES,5252.17,StripeConnect
TXN-2024-000125,2024-12-15,IDR,544710.34,Flutterwave
TXN-2024-000126,2024-11-20,KES,14787.96,PayU
TXN-2024-000127,2024-12-30,COP,143350.13,MercadoPago
TXN-2024-000128,2024-11-19,KES,2772.2,MercadoPago
TXN-2024-000129,2024-10-24,BRL,136.33,StripeConnect
TXN-2024-000130,2024-11-03,MXN,2300.99,Xendit
TXN-2024-000131,2024-12-22,IDR,1360212.97,MercadoPago
TXN-2024-000132,2024-11-17,IDR,2104193.46,StripeConnect
TXN-2024-000133,2024-11-28,IDR,2091226.61,Xendit
TXN-2024-000134,2024-10-13,IDR,1503295.36,Flutterwave
TXN-2024-000135,2024-11-14,MXN,2551.17,MercadoPago
TXN-2024-000136,2024-10-26,COP,233268.17,PayU
TXN-2024-000137,2024-10-01,COP,213820.84,Xendit
TXN-2024-000138,2024-11-02,KES,793.27,PayU
TXN-2024-000139,2024-10-05,KES,3291.33,Flutterwave
TXN-2024-000140,2024-10-01,IDR,633319.82,MercadoPago
TXN-2024-000141,2024-11-13,BRL,403.64,StripeConnect
TXN-2024-000142,2024-10-06,IDR,2483863.51,Flutterwave
TXN-2024-000143,2024-11-06,COP,1168866.32,Flutterwave
TXN-2024-000144,2024-11-08,BRL,1191.49,Xendit
TXN-2024-000145,2024-12-08,MXN,3103.29,MercadoPago
TXN-2024-000146,2024-11-17,COP,1050499.22,Flutterwave
TXN-2024-000147,2024-12-15,BRL,541.68,MercadoPago
TXN-2024-000148,2024-12-17,BRL,1250.42,PayU
TXN-2024-000149,2024-12-01,MXN,545.9,StripeConnect
TXN-2024-000150,2024-11-11,BRL,1466.54,Flutterwave
TXN-2024-000151,2024-12-11,IDR,1250154.29,Flutterwave
TXN-2024-000152,2024-11-18,BRL,439.43,PayU
TXN-2024-000153,2024-10-20,KES,977.65,Flutterwave
TXN-2024-000154,2024-12-23,MXN,1898.91,MercadoPago
TXN-2024-000155,2024-11-02,MXN,2271.66,StripeConnect
TXN-2024-000156,2024-12-15,MXN,3491.98,MercadoPago
TXN-2024-000157,2024-10-30,COP,361274.94,Xendit
TXN-2024-000158,2024-10-26,BRL,697.16,MercadoPago
TXN-2024-000159,2024-11-13,KES,14587.96,PayU
TXN-2024-000160,2024-10-26,MXN,1505.85,Flutterwave
TXN-2024-000161,2024-11-01,MXN,620.53,StripeConnect
TXN-2024-000162,2024-11-17,KES,11799.05,StripeConnect
TXN-2024-000163,2024-11-30,BRL,334.11,Xendit
TXN-2024-000164,2024-11-09,MXN,3364.96,MercadoPago
TXN-2024-000165,2024-10-06,KES,7970.78,MercadoPago
TXN-2024-000166,2024-12-10,MXN,2198.35,StripeConnect
TXN-2024-000167,2024-10-24,COP,342543.07,StripeConnect
TXN-2024-000168,2024-11-03,IDR,332977.76,MercadoPago
TXN-2024-000169,2024-11-26,KES,10335.83,Xendit
TXN-2024-000170,2024-10-17,IDR,1722923.47,PayU
TXN-2024-000171,2024-12-01,COP,1138513.4,PayU
TXN-2024-000172,2024-10-09,COP,1309083.17,PayU
TXN-2024-000173,2024-12-07,COP,231769.1,Xendit
TXN-2024-000174,2024-11-06,KES,6084.77,PayU
TXN-2024-000175,2024-10-26,MXN,3817.13,PayU
TXN-2024-000176,2024-12-01,IDR,1112089.01,Flutterwave
TXN-2024-000177,2024-11-01,BRL,354.12,MercadoPago
TXN-2024-000178,2024-12-01,KES,10624.38,StripeConnect
TXN-2024-000179,2024-10-23,IDR,723636.87,PayU
TXN-2024-000180,2024-11-16,BRL,70.68,Flutterwave
TXN-2024-000181,2024-10-18,IDR,1228469.79,Xendit
TXN-2024-000182,2024-10-25,IDR,552622.08,StripeConnect
TXN-2024-000183,2024-11-25,MXN,1663.98,Xendit
TXN-2024-000184,2024-12-18,COP,171560.83,Xendit
TXN-2024-000185,2024-11-11,MXN,693.48,PayU
TXN-2024-000186,2024-11-01,KES,10740.8,Flutterwave
TXN-2024-000187,2024-10-06,IDR,996125.31,MercadoPago
TXN-2024-000188,2024-10-08,COP,305872.14,Xendit
TXN-2024-000189,2024-12-28,IDR,1908289.88,StripeConnect
TXN-2024-000190,2024-10-11,COP,1340691.37,Flutterwave
TXN-2024-000191,2024-12-04,MXN,4657.45,StripeConnect
TXN-2024-000192,2024-12-11,IDR,2401339.55,MercadoPago
TXN-2024-000193,2024-11-27,KES,2469.53,MercadoPago
TXN-2024-000194,2024-11-17,BRL,1056.83,MercadoPago
TXN-2024-000195,2024-12-06,MXN,3454.28,StripeConnect
TXN-2024-000196,2024-12-26,IDR,734278.83,StripeConnect
TXN-2024-000197,2024-10-25,IDR,752491.95,MercadoPago
TXN-2024-000198,2024-10-29,MXN,1702.96,PayU
TXN-2024-000199,2024-12-14,KES,11632.35,PayU
TXN-2024-000200,2024-11-21,BRL,1363.8,Flutterwave
TXN-2024-000201,2024-10-25,IDR,881741.71,StripeConnect
TXN-2024-000202,2024-11-20,BRL,1390.59,PayU
TXN-2024-000203,2024-12-14,MXN,2661.27,Xendit
TXN-2024-000204,2024-11-07,IDR,1443216.2,Flutterwave
TXN-2024-000205,2024-11-06,MXN,4619.25,MercadoPago
TXN-2024-000206,2024-12-12,IDR,1781829.79,PayU
TXN-2024-000207,2024-10-20,IDR,728196.85,PayU
TXN-2024-000208,2024-10-15,IDR,1410320.65,PayU
TXN-2024-000209,2024-12-07,MXN,940.86,MercadoPago
TXN-2024-000210,2024-10-03,IDR,846523.5,MercadoPago
TXN-2024-000211,2024-11-09,BRL,189.59,Xendit
TXN-2024-000212,2024-10-30,KES,9863.11,StripeConnect
TXN-2024-000213,2024-10-02,BRL,545.71,Xendit
TXN-2024-000214,2024-11-17,KES,13115.78,PayU
TXN-2024-000215,2024-10-19,IDR,2310795.17,PayU
TXN-2024-000216,2024-12-28,MXN,4696.86,Flutterwave
TXN-2024-000217,2024-10-07,MXN,1574.88,Xendit
TXN-2024-000218,2024-11-08,IDR,1563633.8,Flutterwave
TXN-2024-000219,2024-11-16,KES,10460.51,MercadoPago
TXN-2024-000220,2024-12-15,MXN,3863.82,PayU
TXN-2024-000221,2024-12-02,COP,1301018.92,StripeConnect
TXN-2024-000222,2024-10-30,MXN,1853.02,Xendit
TXN-2024-000223,2024-10-23,KES,3366.5,Xendit
TXN-2024-000224,2024-10-01,COP,1428974.65,StripeConnect
TXN-2024-000225,2024-10-12,BRL,1356.87,Xendit
TXN-2024-000226,2024-10-25,IDR,626732.56,PayU
TXN-2024-000227,2024-10-06,MXN,3684.79,StripeConnect
TXN-2024-000228,2024-12-30,BRL,588.05,Xendit
TXN-2024-000229,2024-12-14,KES,4471.58,PayU
TXN-2024-000230,2024-10-07,BRL,52.56,StripeConnect
TXN-2024-000231,2024-12-24,COP,627466.1,MercadoPago
TXN-2024-000232,2024-11-01,COP,556343.82,Flutterwave
TXN-2024-000233,2024-11-27,BRL,497.21,Xendit
TXN-2024-000234,2024-12-17,IDR,1865573.12,StripeConnect
TXN-2024-000235,2024-12-14,BRL,1108.71,Xendit
TXN-2024-000236,2024-11-07,BRL,485.76,MercadoPago
TXN-2024-000237,2024-11-08,BRL,122.63,Flutterwave
TXN-2024-000238,2024-10-16,KES,6313.37,MercadoPago
TXN-2024-000239,2024-10-04,MXN,2898.66,Xendit
TXN-2024-000240,2024-10-08,MXN,1716.91,Xendit
TXN-2024-000241,2024-12-29,KES,14871.41,Xendit
TXN-2024-000242,2024-10-23,MXN,4444.23,StripeConnect
TXN-2024-000243,2024-12-08,MXN,4333.52,Xendit
TXN-2024-000244,2024-10-24,MXN,4170.48,PayU
TXN-2024-000245,2024-10-09,BRL,331.55,MercadoPago
TXN-2024-000246,2024-11-19,BRL,441.06,Xendit
TXN-2024-000247,2024-10-01,BRL,773.73,Xendit
TXN-2024-000248,2024-11-25,MXN,2436.57,StripeConnect
TXN-2024-000249,2024-11-27,BRL,933.74,Flutterwave
TXN-2024-000250,2024-10-16,BRL,896.23,Flutterwave
TXN-2024-000251,2024-11-26,MXN,2781.02,StripeConnect
TXN-2024-000252,2024-10-09,MXN,2982.41,StripeConnect
TXN-2024-000253,2024-12-24,IDR,1213567.3,Xendit
TXN-2024-000254,2024-10-28,BRL,1262.6,PayU
TXN-2024-000255,2024-10-05,COP,1498192.98,StripeConnect
TXN-2024-000256,2024-11-11,IDR,734093.74,Flutterwave
TXN-2024-000257,2024-10-16,COP,797741.11,PayU
TXN-2024-000258,2024-12-17,BRL,1050.67,StripeConnect
TXN-2024-000259,2024-10-15,IDR,256281.99,MercadoPago
TXN-2024-000260,2024-11-28,COP,618003.71,Flutterwave
TXN-2024-000261,2024-11-08,MXN,1391.91,PayU
TXN-2024-000262,2024-12-17,COP,1397761.77,Xendit
TXN-2024-000263,2024-12-15,IDR,129112.04,StripeConnect
TXN-2024-000264,2024-11-17,MXN,539.04,StripeConnect
TXN-2024-000265,2024-12-27,COP,846849.36,Flutterwave
TXN-2024-000266,2024-10-20,MXN,2187.86,PayU
TXN-2024-000267,2024-11-20,IDR,1227950.52,StripeConnect
TXN-2024-000268,2024-12-27,IDR,377488.18,MercadoPago
TXN-2024-000269,2024-12-26,BRL,395.75,MercadoPago
TXN-2024-000270,2024-12-07,MXN,4004.6,StripeConnect
TXN-2024-000271,2024-10-05,KES,7858.24,StripeConnect
TXN-2024-000272,2024-10-25,BRL,711.95,StripeConnect
TXN-2024-000273,2024-12-30,BRL,1394.19,Xendit
TXN-2024-000274,2024-11-23,BRL,1197.67,MercadoPago
TXN-2024-000275,2024-12-28,KES,4621.57,PayU
TXN-2024-000276,2024-10-31,MXN,3396.29,Flutterwave
TXN-2024-000277,2024-10-11,BRL,715.63,StripeConnect
TXN-2024-000278,2024-12-08,MXN,4119.99,Flutterwave
TXN-2024-000279,2024-11-17,MXN,1910.37,StripeConnect
TXN-2024-000280,2024-11-27,BRL,698.03,MercadoPago
TXN-2024-000281,2024-11-19,BRL,210.98,Flutterwave
TXN-2024-000282,2024-12-25,MXN,3074.58,MercadoPago
TXN-2024-000283,2024-10-08,COP,548311.13,StripeConnect
TXN-2024-000284,2024-12-01,MXN,3079.05,PayU
TXN-2024-000285,2024-10-25,COP,487571.39,PayU
TXN-2024-000286,2024-10-13,MXN,1222.6,Xendit
TXN-2024-000287,2024-11-19,MXN,4173.16,StripeConnect
TXN-2024-000288,2024-11-24,KES,7162.92,MercadoPago
TXN-2024-000289,2024-11-17,COP,948624.5,MercadoPago
TXN-2024-000290,2024-12-01,BRL,142.48,Xendit
TXN-2024-000291,2024-12-08,COP,1416169.0,MercadoPago
TXN-2024-000292,2024-12-24,MXN,3784.17,MercadoPago
TXN-2024-000293,2024-11-09,BRL,155.36,MercadoPago
TXN-2024-000294,2024-11-04,COP,1466226.65,MercadoPago
TXN-2024-000295,2024-12-09,MXN,247.99,StripeConnect
TXN-2024-000296,2024-12-02,COP,287364.49,MercadoPago
TXN-2024-000297,2024-11-05,IDR,1962863.27,Xendit
TXN-2024-000298,2024-12-11,BRL,1488.62,Flutterwave
TXN-2024-000299,2024-12-15,KES,1893.44,Xendit
TXN-2024-000300,2024-12-04,MXN,3951.56,PayU
TXN-2024-000301,2024-12-28,MXN,414.54,MercadoPago
TXN-2024-000302,2024-11-19,BRL,86.66,StripeConnect
TXN-2024-000303,2024-12-02,IDR,2948853.05,PayU
TXN-2024-000304,2024-12-09,MXN,4466.93,MercadoPago
TXN-2024-000305,2024-12-21,COP,750472.62,Flutterwave
TXN-2024-000306,2024-12-22,IDR,449555.92,PayU
TXN-2024-000307,2024-11-25,BRL,1302.29,PayU
TXN-2024-000308,2024-10-23,MXN,3701.29,MercadoPago
TXN-2024-000309,2024-12-16,KES,10149.5,StripeConnect
TXN-2024-000310,2024-12-26,IDR,1099676.53,Xendit
TXN-2024-000311,2024-11-20,IDR,2604357.94,Xendit
TXN-2024-000312,2024-11-03,BRL,654.61,Xendit
TXN-2024-000313,2024-10-29,IDR,836310.12,Xendit
TXN-2024-000314,2024-11-26,BRL,62.52,StripeConnect
TXN-2024-000315,2024-12-05,KES,12967.82,MercadoPago
TXN-2024-000316,2024-11-02,COP,1304169.25,PayU
TXN-2024-000317,2024-12-08,COP,600412.16,Xendit
TXN-2024-000318,2024-10-15,IDR,2432221.64,Xendit
TXN-2024-000319,2024-11-21,BRL,990.06,PayU
TXN-2024-000320,2024-12-12,MXN,1039.77,StripeConnect
TXN-2024-000321,2024-11-02,BRL,1404.07,MercadoPago
TXN-2024-000322,2024-11-22,KES,4069.81,Xendit
TXN-2024-000323,2024-11-26,COP,1438124.78,Flutterwave
TXN-2024-000324,2024-11-21,MXN,1721.07,StripeConnect
TXN-2024-000325,2024-11-10,MXN,1152.28,MercadoPago
TXN-2024-000326,2024-10-16,MXN,2592.83,StripeConnect
TXN-2024-000327,2024-10-12,BRL,314.0,Flutterwave
TXN-2024-000328,2024-11-03,IDR,1627248.67,Flutterwave
TXN-2024-000329,2024-11-24,BRL,340.12,StripeConnect
TXN-2024-000330,2024-12-17,MXN,1323.57,MercadoPago
TXN-2024-000331,2024-12-07,BRL,749.99,Flutterwave
TXN-2024-000332,2024-11-21,MXN,3824.03,Flutterwave
TXN-2024-000333,2024-10-14,BRL,1425.74,Xendit
TXN-2024-000334,2024-10-05,COP,862634.29,Xendit
TXN-2024-000335,2024-12-16,MXN,1212.9,MercadoPago
TXN-2024-000336,2024-12-11,MXN,1482.99,Xendit
TXN-2024-000337,2024-10-20,KES,8791.44,Flutterwave
TXN-2024-000338,2024-10-12,KES,13384.16,Xendit
TXN-2024-000339,2024-10-31,KES,7629.84,PayU
TXN-2024-000340,2024-10-31,IDR,1896416.78,MercadoPago
TXN-2024-000341,2024-10-04,KES,8630.01,StripeConnect
TXN-2024-000342,2024-11-27,COP,1274890.27,MercadoPago
TXN-2024-000343,2024-10-14,MXN,504.73,Xendit
TXN-2024-000344,2024-12-02,BRL,1172.85,Flutterwave
TXN-2024-000345,2024-11-23,KES,6919.52,Flutterwave
TXN-2024-000346,2024-12-13,KES,12675.83,StripeConnect
TXN-2024-000347,2024-10-02,MXN,2809.29,PayU
TXN-2024-000348,2024-12-08,KES,1875.8,Xendit
TXN-2024-000349,2024-12-24,IDR,494560.6,StripeConnect
TXN-2024-000350,2024-12-17,MXN,2999.03,PayU
TXN-2024-000351,2024-12-07,BRL,1016.68,StripeConnect
TXN-2024-000352,2024-11-08,COP,319242.5,StripeConnect
TXN-2024-000353,2024-10-03,COP,644846.26,PayU
TXN-2024-000354,2024-10-14,IDR,2029416.88,PayU
TXN-2024-000355,2024-12-29,KES,8187.43,Xendit
TXN-2024-000356,2024-10-26,BRL,221.11,Flutterwave
TXN-2024-000357,2024-11-25,KES,2825.63,PayU
TXN-2024-000358,2024-12-24,IDR,2807170.71,StripeConnect
TXN-2024-000359,2024-10-13,COP,108071.77,MercadoPago
TXN-2024-000360,2024-10-29,COP,215815.73,Xendit
TXN-2024-000361,2024-10-13,MXN,4328.39,Xendit
TXN-2024-000362,2024-10-10,COP,144097.47,MercadoPago
TXN-2024-000363,2024-12-24,COP,107950.03,PayU
TXN-2024-000364,2024-10-01,MXN,4524.69,PayU
TXN-2024-000365,2024-11-30,COP,1355267.26,MercadoPago
TXN-2024-000366,2024-12-27,COP,1360584.25,StripeConnect
TXN-2024-000367,2024-11-08,KES,12460.9,PayU
TXN-2024-000368,2024-11-03,COP,811031.58,Xendit
TXN-2024-000369,2024-10-28,IDR,945057.84,PayU
TXN-2024-000370,2024-12-26,KES,12308.18,PayU
TXN-2024-000371,2024-12-17,MXN,966.72,PayU
TXN-2024-000372,2024-11-05,BRL,258.44,StripeConnect
TXN-2024-000373,2024-10-20,KES,11570.38,StripeConnect
TXN-2024-000374,2024-10-24,IDR,2463298.57,PayU
TXN-2024-000375,2024-11-23,KES,11454.99,MercadoPago
TXN-2024-000376,2024-11-27,COP,242042.13,Xendit
TXN-2024-000377,2024-11-19,BRL,737.95,StripeConnect
TXN-2024-000378,2024-12-20,MXN,1951.21,Xendit
TXN-2024-000379,2024-10-25,IDR,102681.17,StripeConnect
TXN-2024-000380,2024-10-15,KES,14757.0,PayU
TXN-2024-000381,2024-10-02,IDR,2793112.13,Xendit
TXN-2024-000382,2024-10-11,MXN,2670.4,Flutterwave
TXN-2024-000383,2024-10-03,IDR,1100702.03,PayU
TXN-2024-000384,2024-11-07,BRL,460.81,Flutterwave
TXN-2024-000385,2024-12-18,MXN,4662.31,Xendit
TXN-2024-000386,2024-11-19,COP,60991.96,PayU
TXN-2024-000387,2024-10-02,MXN,3305.07,MercadoPago
TXN-2024-000388,2024-11-23,COP,1315698.99,StripeConnect
TXN-2024-000389,2024-10-11,MXN,4028.19,MercadoPago
TXN-2024-000390,2024-12-04,MXN,3632.1,PayU
TXN-2024-000391,2024-10-25,MXN,4051.63,Xendit
TXN-2024-000392,2024-12-27,COP,883932.74,Xendit
TXN-2024-000393,2024-11-12,IDR,2640778.18,StripeConnect
TXN-2024-000394,2024-10-15,IDR,228009.86,PayU
TXN-2024-000395,2024-10-30,KES,10440.57,MercadoPago
TXN-2024-000396,2024-10-30,COP,1323758.15,Flutterwave
TXN-2024-000397,2024-11-13,MXN,2051.99,Xendit
TXN-2024-000398,2024-12-01,BRL,1211.92,PayU
TXN-2024-000399,2024-11-27,MXN,2582.07,MercadoPago
TXN-2024-000400,2024-10-09,COP,1169414.22,MercadoPago
TXN-2024-000401,2024-12-16,KES,6488.25,MercadoPago
TXN-2024-000402,2024-11-05,IDR,766509.6,MercadoPago
TXN-2024-000403,2024-10-08,MXN,3015.32,MercadoPago
TXN-2024-000404,2024-11-05,BRL,591.4,Xendit
TXN-2024-000405,2024-10-01,MXN,3143.86,PayU
TXN-2024-000406,2024-12-16,MXN,2637.58,Flutterwave
TXN-2024-000407,2024-11-24,KES,8845.65,Flutterwave
TXN-2024-000408,2024-12-16,IDR,686369.85,PayU
TXN-2024-000409,2024-10-31,MXN,1792.38,MercadoPago
TXN-2024-000410,2024-10-15,COP,962198.13,Xendit
TXN-2024-000411,2024-11-18,IDR,2203562.67,Flutterwave
TXN-2024-000412,2024-11-13,KES,11802.45,PayU
TXN-2024-000413,2024-11-22,MXN,3508.58,MercadoPago
TXN-2024-000414,2024-12-10,IDR,1285471.22,PayU
TXN-2024-000415,2024-11-07,MXN,2982.11,PayU
TXN-2024-000416,2024-10-27,MXN,1958.97,Flutterwave
TXN-2024-000417,2024-12-20,BRL,397.69,MercadoPago
TXN-2024-000418,2024-10-16,MXN,953.29,StripeConnect
TXN-2024-000419,2024-12-13,IDR,537583.17,Flutterwave
TXN-2024-000420,2024-11-07,IDR,2887400.1,PayU
TXN-2024-000421,2024-12-13,KES,4451.74,StripeConnect
TXN-2024-000422,2024-12-05,MXN,3423.88,Flutterwave
TXN-2024-000423,2024-10-02,MXN,2648.32,Flutterwave
TXN-2024-000424,2024-11-07,KES,2621.13,MercadoPago
TXN-2024-000425,2024-10-22,BRL,1170.19,PayU
TXN-2024-000426,2024-11-07,COP,1104647.38,StripeConnect
TXN-2024-000427,2024-10-17,MXN,555.97,PayU
TXN-2024-000428,2024-10-22,COP,1047048.08,Flutterwave
TXN-2024-000429,2024-12-07,MXN,1205.3,MercadoPago
TXN-2024-000430,2024-11-18,IDR,1214035.44,MercadoPago
TXN-2024-000431,2024-10-09,KES,11987.23,Xendit
TXN-2024-000432,2024-11-23,MXN,3667.2,StripeConnect
TXN-2024-000433,2024-10-05,MXN,3545.14,MercadoPago
TXN-2024-000434,2024-12-05,MXN,4334.45,MercadoPago
TXN-2024-000435,2024-11-17,IDR,1014136.17,Flutterwave
TXN-2024-000436,2024-12-17,MXN,443.94,PayU
TXN-2024-000437,2024-12-30,BRL,874.55,PayU
TXN-2024-000438,2024-12-12,MXN,4853.27,PayU
TXN-2024-000439,2024-11-26,BRL,1115.35,MercadoPago
TXN-2024-000440,2024-10-29,BRL,821.6,PayU
